iter	Passed	Remaining
664	6371	3209
665	6381	3200
666	6389	3189
667	6397	3179
668	6404	3168
669	6414	3159
670	6423	3149
671	6432	3139
672	6440	3129
673	6447	3118
674	6455	3108
675	6464	3098
676	6473	3088
677	6482	3078
678	6493	3069
679	6502	3059
680	6510	3049
681	6520	3040
682	6530	3030
683	6538	3020
684	6549	3011
685	6557	3001
686	6566	2991
687	6585	2986
688	6594	2976
689	6602	2966
690	6610	2956
691	6619	2946
692	6628	2936
693	6637	2926
694	6647	2917
695	6656	2907
696	6664	2897
697	6672	2887
698	6680	2876
699	6690	2867
700	6701	2858
701	6721	2853
702	6731	2843
703	6742	2834
704	6752	2825
705	6781	2824
706	6792	2814
707	6801	2805
708	6810	2795
709	6820	2785
710	6828	2775
711	6838	2766
712	6849	2756
713	6858	2747
714	6869	2738
715	6876	2727
716	6884	2717
717	6896	2708
718	6904	2698
719	6914	2688
720	6923	2679
721	6931	2668
722	6939	2658
723	6946	2648
724	6954	2638
725	6962	2627
726	6971	2618
727	6979	2607
728	6987	2597
729	6998	2588
730	7007	2578
731	7015	2568
732	7024	2558
733	7033	2548
734	7043	2539
735	7059	2532
736	7075	2525
737	7092	2517
738	7102	2508
739	7110	2498
740	7119	2488
741	7127	2478
742	7137	2468
743	7154	2461
744	7171	2454
745	7183	2446
746	7197	2437
747	7207	2428
748	7215	2418
749	7223	2407
750	7231	2397
751	7240	2387
752	7251	2378
753	7260	2368
754	7270	2359
755	7280	2349
756	7289	2340
757	7298	2330
758	7306	2319
759	7314	2309
760	7323	2299
761	7331	2290
762	7339	2279
763	7348	2269
764	7362	2261
765	7370	2251
766	7380	2242
767	7391	2232
768	7400	2223
769	7409	2213
770	7417	2203
771	7427	2193
772	7438	2184
773	7446	2174
774	7456	2164
775	7464	2154
776	7473	2144
777	7482	2135
778	7491	2125
779	7500	2115
780	7509	2105
781	7516	2095
782	7532	2087
783	7542	2077
784	7551	2068
785	7561	2058
786	7575	2050
787	7586	2041
788	7594	2031
789	7605	2021
790	7614	2011
791	7623	2002
792	7636	1993
793	7644	1983
794	7653	1973
795	7672	1966
796	7684	1957
797	7696	1948
798	7707	1938
799	7716	1929
800	7729	1920
801	7741	1911
802	7754	1902
803	7763	1892
804	7776	1883
805	7786	1874
806	7795	1864
807	7804	1854
808	7817	1845
809	7832	1837
810	7853	1830
811	7869	1822
812	7881	1812
813	7891	1803
814	7901	1793
815	7913	1784
816	7922	1774
817	7930	1764
818	7941	1755
819	7955	1746
820	7969	1737
